,0
1993,-7246535.734621935
1994,-7235729.0454028165
1995,-7238633.230046564
1996,-7236547.5253183525
1997,-7229509.130542851
1998,-7231245.939081998
1999,-7230654.869156239
2000,-7224371.4802651685
2001,-7227359.663749327
2002,-7235020.479942627
2003,-7217270.867235068
2004,-7214365.935762364
2005,-7222191.292013094
2006,-7217368.966259588
2007,-7222009.583819257
2008,-7214302.802799356
2009,-7212958.5860336805
2010,-7220308.129819578
2011,-7208610.18735061
2012,-7205120.8863284
2013,-7202495.503985335
2014,-7208077.799744784
2015,-7205304.266555265
2016,-7197858.594419777
2017,-7206995.321594701
2018,-7195109.598118594
2019,-7204294.137793518
2020,-7197675.681395555
2021,-7196874.914444093
2022,-7182475.459751907
2023,-7195332.096516087
2024,-7186541.989049784
2025,-7176303.378505767
2026,-7194329.598119664
2027,-7189183.845928551
2028,-7168608.6153236665
2029,-7182333.48864502
2030,-7179699.111251637
2031,-7179246.218329894
2032,-7185793.29210365
2033,-7169367.269184276
2034,-7176570.65755458
2035,-7163128.287436712
2036,-7170390.888154332
2037,-7172946.32510934
2038,-7162023.465613534
2039,-7161320.442971704
2040,-7166680.724774375
2041,-7159988.328045126
2042,-7164408.458869773
2043,-7160377.2759438595
2044,-7171309.400973759
2045,-7165766.539293843
2046,-7155301.507245012
2047,-7147376.939074223
2048,-7159465.518534268
2049,-7152424.127962218
2050,-7158141.950059052
2051,-7153011.447286705
2052,-7141623.925605105
2053,-7141325.3421089025
2054,-7145063.347874745
2055,-7129666.115549437
2056,-7151817.854932648
2057,-7143990.747225846
2058,-7138294.257166609
2059,-7134791.1014409065
2060,-7133527.249397841
2061,-7132257.839137376
2062,-7123796.548864633
2063,-7119101.615867171
2064,-7123778.657827398
2065,-7115102.068208573
2066,-7123804.946093537
2067,-7116977.096134894
2068,-7118579.5716003785
2069,-7106615.672311391
2070,-7114102.794100319
2071,-7103582.791877064
2072,-7120644.378127058
2073,-7099348.541719622
2074,-7125524.765278726
2075,-7115183.369109781
2076,-7101436.262879227
2077,-7112380.782621202
2078,-7105850.743152459
2079,-7110960.666240017
2080,-7101149.088499046
2081,-7078916.904201932
2082,-7098874.78211153
2083,-7090153.923654428
2084,-7092386.801846246
2085,-7094786.332724778
2086,-7096505.074142074
2087,-7100167.151520516
2088,-7086786.643756681
2089,-7084483.424867346
2090,-7081315.989503463
2091,-7083962.84071311
2092,-7079343.199243118
2093,-7076427.40781672
2094,-7076656.903566813
2095,-7080424.626358929
2096,-7067815.045817937
2097,-7085736.471739356
2098,-7075501.371127458
2099,-7068885.817879451
2100,-7070404.029888984
2101,-7059362.588952932
2102,-7072092.8398522865
2103,-7070730.316160828
2104,-7056250.205662475
2105,-7055185.8464424
2106,-7062125.296764755
2107,-7053125.962647569
2108,-7057942.516823108
2109,-7058584.7859974485
2110,-7062145.238210662
2111,-7056122.44136076
2112,-7056281.64031119
2113,-7053021.431520081
2114,-7052783.482164432
2115,-7043703.816213665
2116,-7046387.34849063
2117,-7039035.321441229
2118,-7044373.383992441
2119,-7032140.687196689
2120,-7050001.159910311
2121,-7032987.873803269
2122,-7049695.021342658
2123,-7036996.037009924
2124,-7034964.443991261
2125,-7024470.36287224
2126,-7023458.539481207
2127,-7031869.669375192
2128,-7033531.696734717
2129,-7023028.06182241
2130,-7021218.85190364
2131,-7021210.176456606
2132,-7021409.6140300045
2133,-7011769.419830462
2134,-7019232.917669708
2135,-7020574.829655032
2136,-7018332.833837854
2137,-7022195.339091286
2138,-7005617.418845146
2139,-7011907.268868515
2140,-7014240.561975446
2141,-7009662.618300132
2142,-7006629.440984367
2143,-7008758.28153351
2144,-7002535.852657301
2145,-6994471.253691981
2146,-7012981.5534956725
2147,-7006164.058044048
2148,-7003266.444919485
2149,-6999407.341026858
2150,-6997979.029532705
2151,-6993460.467135056
2152,-6990584.779537054
2153,-6991689.81893902
2154,-6993756.687214091
2155,-6981080.617492953
2156,-6992143.957275202
2157,-6990702.950791629
2158,-6982454.1252022935
2159,-6991788.543156998
2160,-6986822.575295731
