CNS,COD_MCPIO,MCPIO
32.6,52540,Policarpa
59.6,52560,Potosí
20.4,52565,Providencia
76.6,52573,Puerres
73.9,52585,Pupiales
27.7,52612,Ricaurte
18.3,52621,Roberto Payán
32.4,52678,Samaniego
52.8,52683,Sandoná
27.2,52685,San Bernardo
55.5,52687,San Lorenzo
59.4,52693,San Pablo
50.6,52694,San Pedro de Cartago
12.2,52696,Santa Bárbara
16.0,52699,Santacruz
69.5,52720,Sapuyes
66.3,52786,Taminango
57.4,52788,Tangua
52.6,52835,San Andres de Tumaco
67.2,52838,Túquerres
63.5,52885,Yacuanquer
78.6,54001,Cúcuta
42.3,54003,Abrego
59.6,54051,Arboledas
67.1,54099,Bochalema
70.5,54109,Bucarasica
87.2,54125,Cácota
57.2,54128,Cachirá
67.6,54172,Chinácota
52.9,54174,Chitagá
68.0,54206,Convención
40.1,68867,Vetas
69.1,54223,Cucutilla
78.5,54239,Durania
29.8,54245,El Carmen
43.2,54250,El Tarra
70.5,54261,El Zulia
49.8,54313,Gramalote
23.1,54344,Hacarí
39.6,54347,Herrán
57.0,54377,Labateca
48.6,54385,La Esperanza
54.9,54398,La Playa
57.1,54405,Los Patios
68.4,54480,Mutiscua
68.2,54498,Ocaña
54.8,54518,Pamplona
67.7,54520,Pamplonita
43.0,54553,Puerto Santander
47.5,54599,Ragonvalia
63.0,54660,Salazar
20.2,54670,San Calixto
62.2,54673,San Cayetano
68.2,54680,Santiago
43.2,54720,Sardinata
56.2,54743,Silos
28.3,54800,Teorama
53.2,54810,Tibú
63.7,54820,Toledo
43.6,54871,Villa Caro
64.9,54874,Villa del Rosario
82.6,63001,Armenia
99.0,63111,Buenavista
80.9,63130,Calarca
77.6,63190,Circasia
71.6,63212,Córdoba
70.5,63272,Filandia
70.2,63302,Génova
71.0,63401,La Tebaida
72.0,63470,Montenegro
115.5,63548,Pijao
79.6,63594,Quimbaya
109.9,63690,Salento
87.7,66001,Pereira
53.0,66045,Apía
79.5,66075,Balboa
58.4,66088,Belén de Umbría
71.9,66170,Dosquebradas
68.6,66318,Guática
60.3,66383,La Celia
80.8,66400,La Virginia
53.9,66440,Marsella
